"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","visib","prcp","sndp","fog","NUM_CRIMES"
"157",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2015,72.1,6.2,9.7,0.01,999.9,0,0.611451942740286
"158",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2015,65.9,6.1,4.1,0.28,999.9,0,0.662576687116564
"159",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2015,69.7,5.8,6.4,0.09,999.9,1,0.633946830265849
"160",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2015,75.9,7.2,8.5,1.44,999.9,0,0.595092024539877
"161",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2015,76.4,6.7,9,1.54,999.9,1,0.482617586912065
"162",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2015,70.4,8.5,8.6,1.75,999.9,0,0.703476482617587
"163",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2015,63.5,4,8.7,0,999.9,0,0.447852760736196
"164",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2015,74.5,7.8,7.1,0.33,999.9,1,0.541922290388548
"165",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2015,63.1,10.7,10,0.48,999.9,0,0.556237218813906
"166",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2015,67.4,5.9,10,0,999.9,0,0.537832310838446
"167",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2015,76.8,7.8,9.7,0.22,999.9,0,0.572597137014315
"168",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2015,78.3,8.7,9.9,0,999.9,0,0.566462167689162
"169",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2015,77.2,9,10,0.04,999.9,0,0.468302658486708
"170",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2015,72.3,5,10,0,999.9,0,0.460122699386503
"171",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2015,73.4,6.7,9,0,999.9,0,0.574642126789366
"172",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2015,66.3,7.9,6.8,0.02,999.9,0,0.574642126789366
"173",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2015,66.5,9.2,9.7,0.7,999.9,0,0.449897750511247
"174",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2015,70,5,10,0,999.9,0,0.601226993865031
"175",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2015,70.6,4.4,9.3,0.02,999.9,0,0.507157464212679
"176",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2015,70.7,6.6,8.5,0.06,999.9,0,0.501022494887526
"177",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,62.6,7.7,10,0,999.9,0,0.787321063394683
"178",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,62.8,9.3,9.9,0,999.9,0,0.519427402862986
"179",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,68,6.3,10,0,999.9,0,0.541922290388548
"180",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,72.2,3.1,9.9,0,999.9,0,0.699386503067485
"181",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,76,3.5,8,0,999.9,0,0.807770961145194
"182",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,78.4,8.5,9.2,0,999.9,0,0.519427402862986
"183",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,69,12.3,8.3,0.76,999.9,0,0.404907975460123
"184",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,62.5,7.2,10,0.05,999.9,0,0.439672801635992
"185",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,66.3,7.2,5.9,0.04,999.9,0,0.343558282208589
"186",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,71.5,4.3,9,0,999.9,0,0.482617586912065
